source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,5,jacksonville-jaguars,Mason Graham,DL,Michigan,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,6,las-vegas-raiders,Ashton Jeanty,RB,Boise St.,Mountain West,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,7,new-york-jets,Tyler Warren,TE,Penn St.,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,8,carolina-panthers,Jalon Walker,EDGE,Georgia,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,9,new-orleans-saints,Jahdae Barron,CB,Texas,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,10,chicago-bears,Will Campbell,OT,LSU,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,11,san-francisco-49ers,Armand Membou,OT,Missouri,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,12,dallas-cowboys,Matthew Golden,WR,Texas,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,13,miami-dolphins,Will Johnson,CB,Michigan,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,14,indianapolis-colts,Colston Loveland,TE,Michigan,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
